EventName,EventDescription,EventStartTime,EventEndTime,EventCategoryName,EventLocation
"
Godot'yu Beklerkeni Beklerken
","Muharrem Uğurlu'nun yönettiği Godot'yu Beklerkeni Beklerken oyunu, izleyicisiyle buluşuyor.""İki talihsiz erkek oyuncu Ester ve Val, bir tiyatroda “Godot’yu Beklerken” adlı oyun oynanırken, oyunda görevli aktörlerin yedeği olarak sahne arkasında hazıeklemektedirler.Hiç karşılaşmadıkları yönetmenin gelip onlara diğer aktörlerin yerine sahneye çıkacakları zamanı söylemesi umudu içindedirler. Bu gerçekleşmezse, en kötü “Oyunculardan birinin kafasına spot düşebilir, biri hastalanabilir ya da biri kovulabilir” beklentisi içinde sahneye çıkabilmeyi umarlar.Bu sırada oyunculuk, hayat, beklentiler, özlemler, hayaller vb. üzerine konuşurlar.Ancak bekledikleri yönetmen bir türlü gelmez. Sahnedeki oyuncuların kafasına spot da düşmez, kimse hastalanmaz ya da kovulmaz. Yine de beklerler.Ta ki…Samuel Beckett’ın “Godot’yu Beklerken” adlı oyununda, oyunda görevli aktörlerin yerine sahneye çıkmayı bekleyen iki yedek erkek oyuncunun sahne arkasında yaşadıklarını anlatır. Sanata ve özellikle oyunculuğa olan tutku ve sevgilerinin ışığında; duygularını, beklentilerini, özlemlerini, kıskançlıklarını, üzüntülerini ve mutluluklarını paylaşmanın yanı sıra, aktörlerin yaşadıkları zorluklara ve gösterdikleri fedakârlıklara da değinerek çelişkiler içinde gezinirler. Hırs ve komplekslerini, beceriyle beceriksizlik arasındaki bariz uçuruma nasıl görünmez bir köprü kurup cesaretle dolaştıklarını, büyük bir keyifle egolarını nasıl kabarttıklarını da çarpıcı diyaloglarla gözler önüne sererler.Hayatları boyunca görünmeye çalışan ama görünmez olarak kalanların umutlarını, beklentilerini, hayallerini anlatan, Samuel Beckett’ın “Godot’yu Beklerken” oyununa da göndermeler yapan oyun  absürt yapısı, son derece eğlenceli diyalog ve başarılı kurgusuyla, New York’tan sonra Londra’da da başarı kazanmış nitelikli ve özgün bir komedi.""Yaza: Dave HansonÇevirmen:Ekin Tunçay TuranTü: KomediBölüm: 2Yönetmen:Muharrem UğurluOyuncula:Muzaffer Yöntem, Olcay Tanberken, Metin KurtDans Koreografi:Gizem Topal","  3 Nisan 2018, Salı - 20:00",,Arts," Asmalı Sahne, İstanbul"
"
Paket Servis
","Tiyatro Şenay’ın tek perdelik yeni oyunu “Paket Servis”, KATS Sahne’de izleyicisiyle buluşuyor.Önce “Paket Servis”ile gelen bol kahkaha, sonra “Hayatimiz Müzikal Olsa” ile bol bol müzik!Biilete iki etkinlik imkânı sunan Gayrettepe KATS Sahne, Her Salı akşamı misafirlerini önce büyük beğeni toplayan heyecanlı ve eğlenceli “Paket Servis” oyunuyla bol bol gülmeye davet ediyor. Oyunun ardından gerçekleşecek “Hayatımız Müzikal Olsa” konserinde ise Ayçe Abana ve Yunuscan Kaya, sinema ve Broadway müzikallerinin en sevilen örneklerini seslendiriyorlar.Yüksek tempolu performansı, rengârenk dekoru ve eğlenceli hikâyesiyle seyirciden büyük beğeni toplayan “Paket Servis”; erkek dünyasında kadın olarak yaşamanın güçlüklerine karşı koymaya ve erkeklerden intikam almaya karar veren iki genç kadının ve her şeyden habersiz ilk kurbanlarının eğlenceli hikâyesi. Tiyatro Şenay'ın, konusuyla herkesi meraklandıran komedi oyunu “Paket Servis”, izleyen herkesi hem heyecanlandırıyor hem de çok güldürüyor. Siz de erkeklerin dünyasında yaşadığınızı mı düşünüyorsunuz, rekabetin dürüst olmadığına mı inanıyorsunuz, farklı biakış açısı mı arıyorsunuz? O zaman genç oyuncular Ceren Kaplakarslan, İlkem Ulugün ve Cengiz Orhonlu’nun rol aldığı “Paket Servis” tam size göre bir oyun! Oyunun hemen ardından ise Gayrettepe KATS Sahne misafirlerini, sinema ve Broadway müzikallerinin şarkılarından en sevilen örneklerle bir yolculuğa davet ediyor. “Hayatımız Müzikal Olsa”da Ayçe Abana’nın sesini takip edip Yunuscan Kaya’nın piyanosu ile hayallerin sınırlarında gezinen dinleyiciler, aynı zamanda bu büyülü maceranın bir parçası da oluyorlar.","  3 Nisan 2018, Salı - 20:30",,Arts," KATS Sahne, İstanbul"
"
Sar
","Sar tiyatro oyunu,ENKA İbrahim Betil Oditoryumu'nda sizlerle...Kurtuluş’ta aynı mahallenin kaldırım tozunu yutan iki arkadaşın kaleme çaldığı bir İstanbul hikayesi Sar...“Fidanını seçtin, yerini beğendin, toprağını hazırladın, can suyunu verdin, sırtını dönü yürüdün, günler geçti, belki haftalar, yağmurlar yağdı ve arada karlar, rüzgarlar esti, geldin baktın, boyu boyundaydı, belli ki tutmuştu, sonsuza uzanabilirdi kökleri, sonra bahar oldu yaz oldu güneş doğdu ay battı venüs çıktı, sen zaten öldün, torunların kim bilir nerde uyandı, gidenler oldu, gelenleaşka gidenlerdi, olmadı, bişeyler yanlış oldu, ağaç büyüdü, uzaktaki ev bir taneydi üç oldu beş taneydi beş yüz oldu, gölgesinde öldürülenler ve elbet öüşenler, onu görmeyenler ve su verenler. Sonra kestiler. İyi de oldu çünkü kaldırımı daraltıyordu.” Sar için dünyayı, insanlığı, dağları, yeryüzünü ve gökyüzünü yanlış anlamak üstüne kurgulanmış bir gösteridir diyor Mihran Tomasyan ve Saro Usta ve ekliyorlar; “Yukarıda bahsedilen ağaçla hiçbir alakası yok. Torunların nerde uyandığıyla ilgilenir.”Konsept ve Uygulama:Mihran Tomasyan - Saro UstaIşık Tasarım:Cem YılmazeIşık Uygulama:İrem Avcı, Yasin GültepeTeknik Destek:Ulaş Yatkın, Serhat Utku İnan, Berkant 'Doktor' Kılıçkap, Muhtar PattabanoğluFoto: Engin İrizAfiş: Alican Teze*Biletinizin barkodunu a href=""http://www.garantikonserve.com"" target=""_blank"">KonserV","  3 Nisan 2018, Salı - 20:30",,Arts," ENKA İbrahim Betil Oditoryumu, İstanbul"
"
Dansın Ritmi
","Dans gösterisi ""Dansın Ritmi"", Hodjapasha'da sahneleniyor.Bu programda Osmanlı Saray dansları ve Anadolu'nun farklı bölgelerinin dansları, oryantal danslar ve ritm show ile harmanlanarak çağdaş bir koreografi ile sunulmaktadır. Hodjapasha, bulunduğu coğrafyanın kültürel mirasını esas alan gösteri ve sergilerden oluşan etkinlikleri sunan bir cazibe merkezidir. Bu dinamik dans gösterisi 360 derece görsel efektler altında ve muhteş kostümler ile birlikte tarihi atmosferde izleyenleri büyülüyor. Ayrıca fuaye alanında bulunan ""Dervish Experience"" sergisi program öncesinde gezilebilir.Program AkışıOsmanlı Saray dansı - YelpazeEge Bölgesi Zeybek Dansları  Trakya Bölgesi Roman DanslarıSolo Şaman Dansı - BlacklightDoğu Anadolu Halay DanslarıSolo Oryantal ŞovGrup Oryantal  Şov - ŞamdanSolo Azeri DansıBalkan Bölgesi DanslarıSolo Darbuka ile Oryantal ŞovRitim ŞovKaradeniz Bölgesi Horon DanslarıFotoğraf çekmek serbesttir. Lütfen flaş kullanmayınız !","  3 Nisan 2018, Salı - 20:30",,Arts," Hodjapasha Gösteri ve Etk. Merkezi, İstanbul"
"
Ömür Özdemir ile Fazla Şaapma - Konuklar: Zafer Algöz ve Can Yılmaz
","Ömür Özdemir’in ilginç sorular ve eğlenceli şovuyla Zafer Algöz ve Can Yılmaz'ı ağırlayacağı gösterisini kaçırmayın!""O dükkana ne açılsa tutmadı cümlesindeki ‘dükkan’ gibi bir insanım.Alışmakla kabullenmek arasındaki o ince çizgide çömelmiş bir halde...Bazen kendimi aşure götürdüğümün komşularımızın kaçının kaseyi geri getirdiğini sayarken falan buluyorum.Öyle bir testosteron saçmalaması bendeki. Kase demişken Melahat abla hiç getirmiyor kaselerimizi!Neymiş efendim; iyi şeyler düşünelim ki iyi şeyler olsunmuş, hayır abicim; önce iyi şeyler olsun sonra iyi düşünelim''Tiyatro sahnelerine yeni bir soluk getirmekten ziyade tavla, okey takımı, disko topu gibi şeyler getirmenin peşinde olan Ömür Özdemir, ''ceriLevis'' mahlasıyla sanal mecralarda başladığı yolculuğuna, kendi hayatından seçtiği eğlenceli hikayeleri Gergedan Yapım prodüksiyonu “Fazla Şaapma” adlı stand up gösterisinde anlatarak devam ediyor.""","  3 Nisan 2018, Salı - 20:30",,Arts," artısahne Mecidiyeköy, İstanbul"
"
Yolun Sonu İnsan
","Büyük bir soprano olan Cyntzia’nın bir geceden diğer gecelere geçerken neler hissettiklerini anlatan Yolun Sonu İnsan tiyatro oyunu,izleyicisiyle buluşuyor.Yazan, anlatıcı:Ozan ErenMüzik: Alp DurmazOyuncula: Seren Akyoldaş (Cyntzia–opera sanatçıcı), Nur Niyaz Bildik(Elodie–dansçı),Kandemir Basmancıoğlu (Karl–piyanist""Büyük bir soprano olan Cyntzia’nın bir geceden diğer gecelere geçerken neler hissettiklerini anlatan Yolun Sonu İnsan müzik, performans ve oyun öğelerini içinde barındırmaktadır.Cyntzia kimi zaman düş krizleri geçirmekte, kimi zaman ıslak şiirler zamanında yaşamakta;kimi zaman da Şairler’den Kaçan Dizeler Sokağı’nda yürümektedir. Cyntzia’nın biricik arkadaşı dansçı Elodie’yle ve sesine ses katan Karl’la birlikte fısıldadığı şarkılarda belki seyirci de kendini bulacaktır. İlk elden mektuplar, ilk aşklar, ilk intihar denemeleri, ilk çığlıkların yankıları…Belki de Yolun Sonu İnsan sadece hayatın bir provasıdır.Peki ya sen seyirci? Bizimle birlikte hayatın provasına katılmak ister misin?""","  3 Nisan 2018, Salı - 20:30",,Arts," Asmalı Sahne, İstanbul"
"
Erkekler Futbol ve Dahası
","Engin Alkan'ın yönettiği Erkekler Futbol ve Dahası tiyatro oyunu, seyircisi ile buluşmaya hazırlanıyor.""Erkek dünyasının kale direkleri arasına gizlenmiş sırları!Bir erkekte aşk acısı kaç gün sürer?Yılbaşı gecesi mecburen tanıştığınız komşunuz sizinle intihar etmek isterse...Babasının gözünde uslu bir  çocuk olamayanların 30'undan sonra Şirinler'i görebilme yöntemleri...Hepsi ve dahası bu oyunda!''Erkekler Futbol ve Dahası''; kadınlar eşitlik ararken aslında erkeklerin  de 1-0 gelip başlamadığı hayatla maçımızı ve okulda, işte, kavgada, yatakta; girdiği her maçta skordan skora koşmak zorunda bırakılan erkekliğin türlü hallerini anlatıyor.""Yazan: Yunus Emre GümüşYönetmen: Engin AlkanDramaturg: Sinem ÖzlekDekor ve Işık Tasarım: Cem YilmazeOyuncula: Cem Davran, Celil Nalçakan. Onur Özaydin Fotoğraf: Mehmet TurgutAfiş Tasarım:Berkcan OkaReji Asistanları:Kürşad Divarci, Ayten Kapicioğli, Melike GüneGenel Koordinatör:Özlem Albayrak","  3 Nisan 2018, Salı - 20:30",,Arts," KKM Gazanfer Özcan S., İstanbul"
"
Trom
","Senem Donatan'ın yönettiği Trom oyunu,izleyicisiyle buluşuyor.Tiyatro aydınlatır!“Sahnede ve hayatta kendi olma”yı kendine mesele edinen bir oyuncu Roland Topor’un ”Masanın Altında” adlı oyun metnini tek başına anlatmaya karar verir. Zira oyuncu, ”Masanın Altında” oyununun baş karakteri köyden bilmediği bir ülkenin büyük bir şehrine göç eden Dragomir'i kendine benzetmektedir. Oyuncu teatral hünerlerini kullanarak kendi hayalindeki ”Masanın Altında” oyununu seyircilere anlatmaya çabalarken, oyunla ve hayatla kurduğu takıntılı ilişkiyi de açık eder.Yazan*-Oynayan:Hakan Emre ÜnalYöneten-Metni Düzenleyen:Senem DonatanProje Asistanı:Serhat GücümAfiş Tasarım:Eren Öztürk*Roland Topor’un ‘Masanın Altında’ adlı metninden hareketle yazılmıştır.Tek perde, 90 dk","  3 Nisan 2018, Salı - 20:30",,Arts," Nazım Hikmet Kültür Merkezi , İstanbul"
"
BKM Mutfak Tek Tek
","BKM Mutfak Tek Tek, gülmek için sunduğu seçeneklerle Nisan ayında BKM Mutfak Uniq'te.10 komedyenin 10'ar dakikalık stand up preformanslarından oluşan, amatör komedyenlerin kendini denediği, profesyonel komedyenlerin kendini geliştirdiği BKM Mutfak Tek Tek, her Salı, BKM Mutfak Uniq sahnesinde. Açık Mikrofon stand up kültürünün Türkiye ayağı olarak sunulan Tek Tek, izleyiciye gülmek için 10'dan fazla neden vadediyor.","  3 Nisan 2018, Salı - 20:30",,Arts," BKM Mutfak - Uniq, İstanbul"
"
Doğaçlama Tiyatro Ligi
","BKM Mutfak Doğaçlama Tiyatro Ligi 3. sezonunda da BKM Mutfak Çarşı’da!Birbirinden eğlenceli ekiplerin kapıştığı müsabakalarda sen de takımını seç, heyecanımıza ortak ol!..Sahnede Ne Oluyor?Sahnede 4 doğaçlama ekibi.. Birbirleriyle kıyasıya mücadele ediyor.. Seyirciye kahkaha ve alkışlarıyla tuttuğu takımı desteklemek kalıyor..""Yerini kap; takımını destekle!""BKM Mutfak Doğaçlama Tiyatro Ligi Nedir?16 doğaçlama tiyatro ekibinin Haziran 2018'e dek mücadele edeceği BKM Mutfak Doğaçlama Tiyatro Ligi (DTL), ekiplerin her hafta 4lü olarak birbirleriyle eşleşmesi, mücadele etmesi ve seyirciyi en çok güldüren ekibin yine seyirci tarafından seçilerek ""haftanın kazananı"" olduğu; puan kazanma sistemi ile ilerleyen bir seri ""tiyatro sporu"" etkinliğidir.4 hafta boyunca seyirci tarafından ""haftanın kazananı"" seçilen 4 takım, 5. haftada ""Ek Puan Maçı"" için sahneye çıkar. Bu gecenin farkı ise şudur: Moderatörlüğünü ligin kurucularından Dilek Çelebi; jüriliğini ise yine ligin kurucularından Osmantan Erkır üstlenmektedir.Lig fikstürü: www.bkmmutfaksahne.com/dtl""Takımını seç ve lig heyecanımıza ortak ol!..""","  3 Nisan 2018, Salı - 20:30",,Arts," BKM Mutfak Çarşı, İstanbul"
"
Mehmet Erdem
","Mehmet Erdem, 4. stüdyo albümü “Neden Böyleyiz”i Sony Music etiketiyle dinleyicilerin beğenisine sunuyor.On şarkıdan oluşan albümde, birbirinden iddialı üç yeni şarkının yanı sıra Mehmet Erdem hayranlarını yine sürpriz düetler ve cover şarkılaekliyor. Sözü ve müziği Murat Ak’a, düzenlemesi Alper Atakan’a ait olan ve daha önce Çamur grubu tarafından seslendirilen ”Hara”, yeni aranjesi ve Mehmet Erdem yorumuyla albümün çıkış şarkısı olarak dinleyicilerle buluşuyor. Yeni şarkılarıyla iddialı!.. Buğulu ses rengi ve yorumuyla özel bir dinleyici kitlesi olan Erdem, albümdeki özel düetler ve cover şarkılar kadar yeni şarkılarıyla da iddialı.Albümün aynı zamanda açılışını yapan iddialı şarkılarından “Sensiz Ben Olamam” Erdem Ergün imzası taşıyor.Sanatçının “Acıyı Sevmek Olur Mu”, “Herkes Aynı Hayatta”, “Olur O Zaman”, gibi müzik kariyerindeki önemli şarkılarında imzası olan yol arkadaşı Cihan Güçlü’nün, albümde yine heiri hit olacak “Sen de Vur Gülüm” ve albüme adını veren “Neden Böyleyiz” şarkılarında imzası bulunuyor. “Sen de Vur Gülüm”ün bir de alaturka versiyonu yer alıyor. Albümün çıkış şarkısı ”Hara” ve “Sen de Vur Gülüm”ün alaturka versiyonundaki klarnet sololarında ise Hüsnü Şenlendirici imzası var. Sürpriz düetler ve cover şarkılau albümde…Mehmet Erdem bu albümde de geleneği bozmayarak yine bir Ahmet Kaya şarkısı seslendirdi. Ahmet Kaya’nın en özel şarkılarından olan “Söyle” Mehmet Erdem’in büyülü yorumuyla yeniden hayat buluyor.90’lı yılların büyük ses getiren şarkılarından olan “Duymak İstiyorum”u kendine has yorumuyla seslendiren Mehmet Erdem’e şarkının söz ve müziğinde imzası olan Cemali, düetiyle de eşlik ediyor.Taner’in yorumuyla aynı döneme damgasını vuran şarkılardan olan; sözleri Zeynep Talu Kurşuncu, müziği Garo Mafyan imzası taşıyan “Affetmedim Kendimi”, Mehmet Erdem yorumuyla dinleyicilerle buluşuyor.Albümde öne çıkan bir diğer cover şarkı, sözü ve müziği Adnan Ergil’e ait olan “Böyle Ayrılık Olmaz”. Şarkının düzenlemelerini de yapan Rubato’nun Mehmet Erdem’le şarkıya düet yapması ise albümün diğeir sürprizi.Sözleri Seyyid Nesimi’ye ait olan anonim eser “Ateş-i Aşka” ise, yeni aranjesi ve Mehmet Erdem yorumuyla albümdeki cover şarkılar arasında farklı bir yere sahip.Alper Atakan Music Production ve Kaya stüdyolarında kaydedilen, mix&mastering; çalışmalarının Özgür Yurtoğlu’na ait olduğu albümdeki tüm düzenlemeler albümün prodüktörlüğünü de üstlenen Alper Atakan’a ait.","  3 Nisan 2018, Salı - 21:00",,Music," Zorlu PSM Drama Sahnesi, İstanbul"
"
Babala Parti - Oğuzhan Uğur
","Babala TV, parti formatında her salı Jolly Joker Vadistanbul'da!5 ay gibi kısa bir sürede yarattığı formatlar ve içerik kalitesiyle dikkat çeken Babala TV, 1 milyon aboneyi geçen takipçisiyle Youtube’un en çok konuşulan kanalı olmayı başardı. Jolly Joker Vadistanbul'da birbirinden farklı konseptlerle, Babala Parti'nin her hafta farklı ve sürpriz konuklarıyla eğlenmeye hazır olun. Sahne Önü Bistro* Sahne önünde yer alan ilk 6 sıra bistroların bulunduğu alanı kapsar.* Sahne önü bistro bilet sahiplerinin 0542 562 22 00 - 0542 562 22 11 numaralı telefonu arayarak, rezervasyon yaptırmaları zorunludur.* Sahne önü bistro bilet sahiplerine minimum 2 kişi olması şartı ile bistro imkanı sunulmaktadır. * 18 yaş sınırı vardır.Bistro* Bistro kategori, Sahne Önü Bistro'dan sonra başlayan ve sahneyi gören en uygun yerden bistro imkanı sunulan alanı kapsar.* Bistro bilet sahiplerinin 0542 562 22 00 - 0542 562 22 11 numaralı telefonu arayarak, rezervasyon yaptırmaları zorunludur.* Bistro bilet sahiplerine minimum 2 kişi olması şartı ile bistro imkanı sunulmaktadır. * 18 yaş sınırı vardır.Loca* Loca bilet sahiplerinin 0542 562 22 00 - 0542 562 22 11 numaralı telefonu arayarak, rezervasyon yaptırmaları zorunludur.* 18 yaş sınırı vardır.Ayakta* Sahne Önü Bistro ve Bistro kategori dışında ayakta konserin izlenebileceği alanları kapsar.* 18 yaş sınırı vardır.","  3 Nisan 2018, Salı - 21:00",,Music," Jolly Joker Vadistanbul, İstanbul"
"
Ruşen Alkar
","Şarkı yazarı ve yorumcu Ruşen Alkar,3 Nisan'da Cemiyet sahnesinde...Ruşen Alkar, SeSabır isimli ilk albüm çalışmasını 2015 Ekim ayında Kalan müzik etiketiyle yayınladı. Prodüktörlüğünü Serdar Ateşer’in yaptığı albümün kayıtları Ayvalık ve İstanbul’da tamamlandı. Kayıt aşamasında gruba Ayşe Tütüncü, İzzet Kızıl, Vedat Yıldırım, Cem Aksel, Engin Aslan konuk müzisyen olarak eşlik etti. Albümünde Türkçe, Kürtçe bestelerinin yanında, grup müziği enerjisiyle düzenlenen iki halk şarkısını da yorumlayan Alkar profesyonel müzik dünyasına giriş yaptı.Şarkı yazarı olmasının yanında, yorumcu olarak, Kürt halk ezgilerini caz,funk formlarında işlemeyi tercih eden Alkar, vokal stiliyle Kürt müziğinin modern yorumlarına yeni bir anlayış katmaktadır. Doğup büyüdüğü coğrafyanın müzikal belleğini, Batı müziğinin teknik olanaklarıyla birleştiren Alkar, sesi ve doğaçlamalarıyla, dünya müziğine yeni bir üslupla entegre olma arayışındadır.""Ruşen AlkaVokalPaşa Çelik/ GitaYıldırım Yalçınkaya/Basİzzet Kızıl /Davul","  3 Nisan 2018, Salı - 21:00",,Music," Cemiyet, İstanbul"
"
Uğur Günel - Sosyalleşmek Lazım Az Biraz
","Uğur Günel, uzun yıllar Gırgır dergisinde çizdiği Sosyalleşmek Lazım Az Biraz isimli çizgi öykülerini sahneye taşıyor.""Talihsizlikler, tesadüfler ve hayal kırıklıklarıyla bezeli hayat hikayesiyle izleyenleri önce geçmişe döndürüyor, ardından gelecekte müsait bir yerde indiriyor. Birbirinden acaip, komik ve gerçek hikayelere; hayalperestelere, depresiflere, içine kapanıklara, gönül adamlarına, pesimistlere, çekingenlere ve aşıklara ilham veren bu sıradışı gösteriyi kaçırmayın.Çeşitli mizah ve edebiyat dergilerinden tanıdığımız Uğur Günel, son olarak Aksi dergisinde yazı çizmeye ve stand-up gösterisiyle hayallerinin peşinden koşmaya devam etmektedir.""","  3 Nisan 2018, Salı - 21:00",,Arts," Bahane Kültür Salon, İstanbul"
"
Murat İlkan & Metin Türkcan - Akustik Proje
","Pentagram'ın efsane isimleri Murat İlkan ve Metin Türkcan,kaçıranlar ve yeniden izlemek isteyenler için Dorock XL sahnesinde...Murat İlkan & Metin Türkcan1993 yılında Murat İlkan ve Metin Türkcan tarafından oluşturulan ""Akustik Proje"", 1994 yılında ikilinin Cherokee adlı bar grubunu kurmasıyla birlikte uzunca bir süreliğine rafa kaldırıldı ve sonraki dönemde Murat İlkan ülkemizin köklü metal grubu Pentagram'a, Metin Türkcan da hem Pentagram'a hem de yine ülkemizin köklü sanatçısı Şebnem Ferah'ın ekibine dahil oldu. Bu dönemde her ikisi de bu projelerle birlikte birçok ses getiren albümlere imzalarını attı.Repertuvarları daha önce yer aldıkları gruplarda ve kendi solo projelerinde icra ettikleri şarkıların yanı sıra çalmaktan ve söylemekten zevk aldıkları bazı kült olmuş şarkılardan oluşan ikili, kadrosuna bas gitarda Alper İlkan'ı ve kemanda Melisa Uzunarslan'ı dahil ederek turneye çıkma ve albüm yapma kararı aldı.","  3 Nisan 2018, Salı - 22:30",,Music," Dorock XL, İstanbul"
"
Berloni Athena Kirala & Pişir Mutfak
","""Berloni Athena Kirala & Pişir Mutfak"" Intema Yaşam'da sizlerle bekliyor...""Kanyon’da sıcacık bir ambiyansa sahip ikinci bir mutfağınız olduğundan haberiniz var mı? Sevdiklerinizi alı Kanyon’daki İntema Yaşam Mağazası’na gelin ve unutulmayacak bir yemek deneyimi yaşayın. Kanyon İntema Yaşam Mağazası’nda evinizin sıcaklığını ve konforunu aratmayacak Berloni mutfağında yemeğinizin malzemelerini kendiniz temin ederek, yemeğinizi misafirleriniz ile keyifli atmosferimiz eşliğinde hazırlayabilirsiniz. Berloni’nin Athena serisi mutfaklarını, sevdiklerinizle birlikte eşsiz bir yemek deneyimi yaşayabilirsiniz.Sizi ikinci evinize bekleriz.""","  4 Nisan 2018, Çarşamba - 13:00",,Hobbies," İntema Yaşam Akademi, İstanbul"
"
Doğal Keçe ile Şal Yapımı
","Doryan Art Atölye mekanında gerçekleşecek Atölye etkinliği olan Doğal Keçe ile Şal Yapımı etkinliğini kaçırmayın, Doğal Keçe ile Şal Yapımı biletini tükenmeden satın alın.","  4 Nisan 2018, Çarşamba - 14:30",,Hobbies," Doryan Art Atölye, İzmir"
"
Masterpiece Bostancı Resim - Rüyada
","Sanat, müzik ve keyfin bir arada olduğu Masterpiece etkinlikleri, sizlerle buluşmaya devam ediyor.Keyifli bir ortamda güzel müzikler eşliğinde, sonunda kendinizi bile şaşırtacak yağlıboya tablolar yapabilirsiniz. Daha önce resim yapmış olmanıza gerek yok, hatta yapmamışsanız çok daha keyifli olabilir. Masterpiece biesim kursu değil, resim ile dolu geçireceğiniz bir keyif seansı. Sanatçılarımızın adım adım yönlendirmeleri ile seçmiş olduğunuz eseri tamamlayacak ve etkinlik sonunda evinize, ofisinize götürü asabileceğiniz, arkadaşlarınıza hediye edebileceğiniz size ait bir yağlıboya tablonuz olacak.Bostancı’dayız. Etkinliğe ilişkin gerekli tüm malzemeleri biz sağlıyoruz. Sizin tek yapmanız gereken dilerseniz en sevdiğiniz içeceği alı gelmek! Birlikte sanat konuşacağız, tablolar yapacağız ve çok eğleneceğiz.","  4 Nisan 2018, Çarşamba - 19:00",,Family & Education," Masterpiece Bostancı , İstanbul"
"
Masterpiece Galata Resim - Rüyada
","Sanat, müzik ve keyfin bir arada olduğu Masterpiece etkinlikleri, sizlerle buluşmaya devam ediyor.""Keyifli bir ortamda güzel müzikler eşliğinde, sonunda kendinizi bile şaşırtacak yağlıboya tablolar yapabilirsiniz. Daha önce resim yapmış olmanıza gerek yok, hatta yapmamışsanız çok daha keyifli olabilir. Masterpiece biesim kursu değil, resim ile dolu geçireceğiniz bir keyif seansı. Sanatçılarımızın adım adım yönlendirmeleri ile seçmiş olduğunuz eseri tamamlayacak ve etkinlik sonunda evinize, ofisinize götürü asabileceğiniz, arkadaşlarınıza hediye edebileceğiniz size ait bir yağlıboya tablonuz olacak.Beyoğlu Galata'dayız. Etkinliğe ilişkin gerekli tüm malzemeleri biz sağlıyoruz. Sizin tek yapmanız gereken dilerseniz en sevdiğiniz içeceği alı gelmek! Birlikte sanat konuşacağız, tablolar yapacağız ve çok eğleneceğiz.""","  4 Nisan 2018, Çarşamba - 19:00",,Family & Education," Masterpiece Galata, İstanbul"
"
Masterpiece İzmir Resim - Rüyada
","Sanat, müzik ve keyfin bir arada olduğu Masterpiece etkinlikleri, sizlerle buluşmaya devam ediyor.""Keyifli bir ortamda güzel müzikler eşliğinde, sonunda kendinizi bile şaşırtacak yağlıboya tablolar yapabilirsiniz. Daha önce resim yapmış olmanıza gerek yok, hatta yapmamışsanız çok daha keyifli olabilir. Masterpiece biesim kursu değil, resim ile dolu geçireceğiniz bir keyif seansı. Sanatçılarımızın adım adım yönlendirmeleri ile seçmiş olduğunuz eseri tamamlayacak ve etkinlik sonunda evinize, ofisinize götürü asabileceğiniz, arkadaşlarınıza hediye edebileceğiniz size ait bir yağlıboya tablonuz olacak.İzmir Kıbrıs Şehitleri’ndeyiz. Etkinliğe ilişkin gerekli tüm malzemeleri biz sağlıyoruz. Sizin tek yapmanız gereken dilerseniz en sevdiğiniz içeceği alı gelmek! Birlikte sanat konuşacağız, tablolar yapacağız ve çok eğleneceğiz.""","  4 Nisan 2018, Çarşamba - 19:00",,Family & Education," Masterpiece İzmir, İzmir"
"
Masterpiece Bursa Resim - Rüyada
","Sanat, müzik ve keyfin bir arada olduğu Masterpiece etkinlikleri, sizlerle buluşmaya devam ediyor.""Masterpiece Bursa'nın, Nilüfer'deki keyifli ortamında güzel müzikler eşliğinde sonunda kendinizi bile şaşırtacak eserler üreteceksiniz. Yeteneğe ya da daha önceden bir deneyim sahibi olmanıza gerek yok, hatta böylesi çok daha keyifli. Masterpiece bir kurs değil, sanat, müzik ve hoş muhabbetle dopdolu geçen bir keyif seansı. Sanatçılarımızın adım adım yönlendirmeleri ile sonunda evinize, ofisinize götürebileceğiniz, arkadaşlarınıza hediye edebileceğiniz size ait bir sanat eseriniz olacak.Gerekli tüm malzemeleri biz sağlıyoruz. Sizin tek yapmanız gereken dilerseniz en sevdiğiniz içeceği alı gelmek ve Masterpiece'in ayrıcalıklı ortamının keyfini çıkarmak...""","  4 Nisan 2018, Çarşamba - 19:00",,Family & Education," Masterpiece Bursa , Bursa"
"
Masterpiece Ankara Resim - Rüyada
","Sanat, müzik ve keyfin bir arada olduğu Masterpiece etkinlikleri, sizlerle buluşmaya devam ediyor.""Keyifli bir ortamda güzel müzikler eşliğinde, sonunda kendinizi bile şaşırtacak yağlıboya tablolar yapabilirsiniz. Daha önce resim yapmış olmanıza gerek yok, hatta yapmamışsanız çok daha keyifli olabilir. Masterpiece biesim kursu değil, resim ile dolu geçireceğiniz bir keyif seansı. Sanatçılarımızın adım adım yönlendirmeleri ile seçmiş olduğunuz eseri tamamlayacak ve etkinlik sonunda evinize, ofisinize götürü asabileceğiniz, arkadaşlarınıza hediye edebileceğiniz size ait bir yağlıboya tablonuz olacak.Ankara Tunalı Hilmi’deyiz. Etkinliğe ilişkin gerekli tüm malzemeleri biz sağlıyoruz. Sizin tek yapmanız gereken dilerseniz en sevdiğiniz içeceği alı gelmek! Birlikte sanat konuşacağız, tablolar yapacağız ve çok eğleneceğiz.""","  4 Nisan 2018, Çarşamba - 19:00",,Family & Education," Masterpiece Ankara, Ankara"
